"Original","Atual","Bytes","SHA256"
"levantamento\adicional\frames\AD-0714.jpg","04_Levantamento\levantamento\adicional\frames\AD-0714.jpg","57730","034A675FF981DC30DF5D6DD0AD4EE338AA68710A785C26AE67A52AD2D9E3156B"
"levantamento\frames\dormitorio_B\DRB-04_11m54s.jpg","04_Levantamento\levantamento\frames\dormitorio_B\DRB-04_11m54s.jpg","57730","034A675FF981DC30DF5D6DD0AD4EE338AA68710A785C26AE67A52AD2D9E3156B"
"levantamento\adicional\frames\AD-0414.jpg","04_Levantamento\levantamento\adicional\frames\AD-0414.jpg","45989","56082A64D4AAA41C7DEE6C90946BD1F89FB70EE215EC03D08D709393AFDDB512"
"levantamento\frames\sala\SAL-03_06m54s.jpg","04_Levantamento\levantamento\frames\sala\SAL-03_06m54s.jpg","45989","56082A64D4AAA41C7DEE6C90946BD1F89FB70EE215EC03D08D709393AFDDB512"
"levantamento\adicional\frames\AD-0486.jpg","04_Levantamento\levantamento\adicional\frames\AD-0486.jpg","53243","97D95C4787C1B5A3186A0D98BEB55C428849CDAD62BAFF33DDBADD5E17B26989"
"levantamento\frames\banheiro\BAN-02_08m06s.jpg","04_Levantamento\levantamento\frames\banheiro\BAN-02_08m06s.jpg","53243","97D95C4787C1B5A3186A0D98BEB55C428849CDAD62BAFF33DDBADD5E17B26989"
"levantamento\adicional\frames\AD-0186.jpg","04_Levantamento\levantamento\adicional\frames\AD-0186.jpg","89507","B60902D998FC9CC7F5874BBA24BB823CCA000B573BAD9B5CC3752424143E684B"
"levantamento\frames\cozinha\COZ-03_03m06s.jpg","04_Levantamento\levantamento\frames\cozinha\COZ-03_03m06s.jpg","89507","B60902D998FC9CC7F5874BBA24BB823CCA000B573BAD9B5CC3752424143E684B"
"levantamento\adicional\frames\AD-0702.jpg","04_Levantamento\levantamento\adicional\frames\AD-0702.jpg","25388","C1E5291CC52C27537A676E2B65DD0E228558A5E77E158CC8422E45932C293DE3"
"levantamento\frames\dormitorio_B\DRB-03_11m42s.jpg","04_Levantamento\levantamento\frames\dormitorio_B\DRB-03_11m42s.jpg","25388","C1E5291CC52C27537A676E2B65DD0E228558A5E77E158CC8422E45932C293DE3"
