"Original","Bytes","SHA256","Atual"
"A04.1_Lavanderia_Marcenaria_R00.md","25358","07F785D8F472820EB3AE5EA1CDAFEC0082F8898DA5D154BDCF293DD8D11FA2F1","02_Projeto_em_desenvolvimento\A04.1_Lavanderia_Marcenaria_R00.md"
"a1429101-db80-413a-b601-b0dee5e632c4.png","1942454","3219EC9FD98A4F6CCD51F8426B7BC72F85F06A105EDF3FC707AA062FD3CFEDD9","03_Referencias_visuais\a1429101-db80-413a-b601-b0dee5e632c4.png"
"aa2a1e62-4ab6-4612-848b-f52b64f389a0.png","1950560","79E004FF6C610DE66265F97A16D8980F6F5D97C5964F7D620D0C3550F904CD56","03_Referencias_visuais\aa2a1e62-4ab6-4612-848b-f52b64f389a0.png"
"apartamento_dados.json","2000","C1C5F59C922CC4E8A44746556D5B8447BEEDDF57BFDFE5360552995853134C45","90_Arquivo_de_apoio\Estudo_Unreal\apartamento_dados.json"
"C01_Conceito_Apartamento_Guedala_Park_III.docx","45164","B60F6444347F7DF5DB2191D999235BFAE4C84FA21825FD86EC37AB36DB257E8E","90_Arquivo_de_apoio\Documentos_anteriores\C01_Conceito_Apartamento_Guedala_Park_III.docx"
"C02_1_Especificacao_Consolidada_Guedala_Park_III.docx","52919","739BB989D60C50F6C47AAB0BE09A867220BDCDCC26E7D7CC99EE5163F50618BC","90_Arquivo_de_apoio\Documentos_anteriores\C02_1_Especificacao_Consolidada_Guedala_Park_III.docx"
"Cozinha.png","1516746","4861647B3EFE51717EF7B81F287F9F200E25A42B654DA02207FAEB022F8437E8","03_Referencias_visuais\Cozinha.png"
"gerar_planta_unreal.py","8246","7C1369019A818028E8B9CE9A6D83181B5459538006F0FDC13E754DC92D631339","90_Arquivo_de_apoio\Estudo_Unreal\gerar_planta_unreal.py"
"Guia_Apartamento_Unreal_Engine.docx","13226","0D3D273D12DF03C273CF6742F2A2625E09D8562F39B456F73BC640E1D246C8F8","90_Arquivo_de_apoio\Estudo_Unreal\Guia_Apartamento_Unreal_Engine.docx"
"Imagem do Codex 7 de set. de 2026, 17_08_30.png","1608825","981058400F6948C15A8C6E6209F25D102B9ADA7947C2B4FDCA7F6F4EF57B40F7","03_Referencias_visuais\Imagem do Codex 7 de set. de 2026, 17_08_30.png"
"Imagem do Codex 7 de set. de 2026, 23_23_07.png","1805109","F46620E8D812B3ECA88EB1F85F1503B41C75930BF92B8A9FCA401007594C176A","03_Referencias_visuais\Imagem do Codex 7 de set. de 2026, 23_23_07.png"
"Planta baixa oficial.pdf","241267","3E74676C94E767143CC3B3C7A726F967F1A91B77963A98B324180CE70A1683D0","01_Documentos_base\Planta baixa oficial.pdf"
"preview_planta_reconstruida.png","45878","4845082EE8A5AD00EB067D93038471843BD70999A1C94FF546867F3E8391CC6F","90_Arquivo_de_apoio\Estudo_Unreal\preview_planta_reconstruida.png"
"Projeto_Apartamento_Elias_Documentacao_Detalhada_v2.pdf","3767074","DBA476DF1C61D7CDD8F8DC077485DD4C172F5D433A3372D8E82A83F09DF02362","01_Documentos_base\Projeto_Apartamento_Elias_Documentacao_Detalhada_v2.pdf"
"quarto1.png","641706","51A5736C855EEAB5CE82791161BBD967167C239AA50790483B2D734A9010E6BD","03_Referencias_visuais\quarto1.png"
".claude\settings.local.json","100","B17D1A25F8C1478538D467E9D278F07995D5BE4D2B9CC666A910AA9607F9AA85",".claude\settings.local.json"
"levantamento\A01.1_Levantamento_R00.html","2901352","8590090AA6359441309EAE0ACFD002D737886E582889ECEB617623CA821E5EA6","04_Levantamento\levantamento\A01.1_Levantamento_R00.html"
"levantamento\A01.1_Levantamento_R00.md","16559","27E9FCE3AF0D36A6C0D90B77B2EE035BED2F0013C401BA175A174B3449456C26","04_Levantamento\levantamento\A01.1_Levantamento_R00.md"
"levantamento\A01.1_Levantamento_R01.html","3592367","AFC1F032A2BF0DC8B15FCA98EAB3E4A3082B07AE23F458617930E18CA32034F4","04_Levantamento\levantamento\A01.1_Levantamento_R01.html"
"levantamento\A01.1_Levantamento_R01.md","13966","C5373E404686F128C226520D170A5D8FAFC3E063FE19508B34C972C2BDDEA5F2","04_Levantamento\levantamento\A01.1_Levantamento_R01.md"
"levantamento\A01.1_Pacote_R00.zip","4371693","2C3B50A5C71C996551C455ACB3A07D8CA6539A8F02E8CF96E70409DFC845D9F7","04_Levantamento\levantamento\A01.1_Pacote_R00.zip"
"levantamento\A01.1_Pacote_R01.zip","5321119","2A10C0DE129D2889DA3EABFE29B1936E13A438937A47C9ED4F482F5B8F422148","04_Levantamento\levantamento\A01.1_Pacote_R01.zip"
"levantamento\indice_frames.json","5850","E9B198662EC9C110E16ACD06CA38FF7DE1793BE30A1D82D4B35FCDCC0F96E594","04_Levantamento\levantamento\indice_frames.json"
"levantamento\Resumo_visual.jpg","258580","55FF9D404F74ECA42A8AD83D1E7A1E40D0ACEB86D92AE444D2C30C3FCF4B8F92","04_Levantamento\levantamento\Resumo_visual.jpg"
"levantamento\adicional\A01.1_Extracao_adicional_R02.html","5962374","520EAF8C754243F069BDC918E0A7D34A75C32A0DEC9570BD349DE03517265CF2","04_Levantamento\levantamento\adicional\A01.1_Extracao_adicional_R02.html"
"levantamento\adicional\A01.1_Extracao_adicional_R02.md","21386","A114FC04FCA5A58D2E500D53830D544186595C66885D49D4653CD98CFC6A730C","04_Levantamento\levantamento\adicional\A01.1_Extracao_adicional_R02.md"
"levantamento\adicional\A01.1_Extracao_adicional_R02.zip","8446999","635B75E250FA838052BDBF61E570770A0621B044B91342BBDA93998FDC9068AB","04_Levantamento\levantamento\adicional\A01.1_Extracao_adicional_R02.zip"
"levantamento\adicional\audio_16k.wav","24772240","143CB4F3E89CB3A6ED6E3DF7BFFA011A84E00A7E5FD49D2C8347FF4108213085","04_Levantamento\levantamento\adicional\audio_16k.wav"
"levantamento\adicional\Correcao_de_identificacao_R02.json","411","24577A31B9014C697EE98A5CCDCB722740C592FCC64A1E4EF9442B7EF701A68D","04_Levantamento\levantamento\adicional\Correcao_de_identificacao_R02.json"
"levantamento\adicional\indice_adicional.json","8384","0549E646F88D369A01FC4A02B8DF58BD45C5C6F43EE724D808F6F309A2716E6B","04_Levantamento\levantamento\adicional\indice_adicional.json"
"levantamento\adicional\qa_gallery.png","63250","30AD3802A0C3653F45148D2D8BC626B838E7BFE7D94D879FF67F4232F09BB1B9","04_Levantamento\levantamento\adicional\qa_gallery.png"
"levantamento\adicional\qa_top.png","92888","E73E0E504B7C0AA24BB5E192793A089A6429551513D69FC832507BFB7990D2A2","04_Levantamento\levantamento\adicional\qa_top.png"
"levantamento\adicional\Transcricao_automatica_com_horarios.txt","12757","734F30242695CA4478F06D3BC9550B8C9495079A5D221825D8B4D6E0E7105338","04_Levantamento\levantamento\adicional\Transcricao_automatica_com_horarios.txt"
"levantamento\adicional\transcricao_automatica.json","17438","6E40F05D713A7A267DE3E5CFE92AE22C0CEC04387A76CA442B8CF0DC7E0166A9","04_Levantamento\levantamento\adicional\transcricao_automatica.json"
"levantamento\adicional\transcricao_automatica.jsonl","15615","488053D858F53D6094C1E91F8D5864CF19DF0E2B67BB90E38F8E26BBA8B6E866","04_Levantamento\levantamento\adicional\transcricao_automatica.jsonl"
"levantamento\adicional\frames\AD-0110.jpg","21507","DA34319461055D2EDFFEFEE8FC0C70AF2FD9BB6D02C5A9B8E8E3DB389BF2C0B1","04_Levantamento\levantamento\adicional\frames\AD-0110.jpg"
"levantamento\adicional\frames\AD-0130.jpg","68502","22FD612E9EB3E859CB1736FF496CC8A01B8EFDE88421264AA471BEE551AA9EE9","04_Levantamento\levantamento\adicional\frames\AD-0130.jpg"
"levantamento\adicional\frames\AD-0142.jpg","56171","5CB46D5678824E9024206BCB72752944079021022CFA45BA158BD0A4F728A3F6","04_Levantamento\levantamento\adicional\frames\AD-0142.jpg"
"levantamento\adicional\frames\AD-0154.jpg","64392","AA7D9608D9DDC4A852223FDB1CED17048FA4F0C1E0F7F8185F9FD90D82DEEF41","04_Levantamento\levantamento\adicional\frames\AD-0154.jpg"
"levantamento\adicional\frames\AD-0166.jpg","87972","9C159AB3226FF7A44502B71AC9A1737E7DFEC79B761178850C23A20BDD47CE3F","04_Levantamento\levantamento\adicional\frames\AD-0166.jpg"
"levantamento\adicional\frames\AD-0170.jpg","83914","ED264C9254BA1F61BBFDE609200CBF00799A3F1A645570B5BC1E96DAACE1B39A","04_Levantamento\levantamento\adicional\frames\AD-0170.jpg"
"levantamento\adicional\frames\AD-0178.jpg","83117","972368DE0A92391D8F7BA059CAF0680678C4430649366F0BD15018D4F83C51F7","04_Levantamento\levantamento\adicional\frames\AD-0178.jpg"
